trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1130,False,"{'a': 0.5, 'e': 0.003468017199445761}",20,0,27.27708481226741,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1131,False,"{'a': 0.5, 'e': 0.0034506771134485323}",20,6,28.783057830719546,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1132,False,"{'a': 0.5, 'e': 0.0034334237278812896}",20,16,5.109275236823104,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1133,False,"{'a': 0.5, 'e': 0.003416256609241883}",25,2,32.94425831869332,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
1134,False,"{'a': 0.5, 'e': 0.0033991753261956737}",25,11,19.924620676403393,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
1135,False,"{'a': 0.5, 'e': 0.0033821794495646953}",20,13,13.972862390805968,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1136,False,"{'a': 0.5, 'e': 0.0033652685523168717}",30,16,27.470957224867487,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1137,False,"{'a': 0.5, 'e': 0.0033484422095552873}",30,11,37.1493114156786,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1138,False,"{'a': 0.5, 'e': 0.003331699998507511}",25,18,13.885611540144994,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1139,False,"{'a': 0.5, 'e': 0.003315041498514973}",20,14,9.59203584867737,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1140,False,"{'a': 0.5, 'e': 0.0032984662910223984}",30,16,27.685502376002425,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1141,False,"{'a': 0.5, 'e': 0.0032819739595672864}",20,11,17.635022054848108,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
